Item ID,Item Name,Purchase Count,Item Price,Total Purchase Value
178,"['Oathbreaker, Last Hope of the Breaking Storm']",12,4.230000000000001,50.76000000000002
82,['Nirvana'],9,4.8999999999999995,44.099999999999994
145,['Fiery Glass Crusader'],9,4.579999999999999,41.21999999999999
92,['Final Critic'],8,4.88,39.04
103,['Singed Scalpel'],8,4.3500000000000005,34.800000000000004
59,"['Lightning, Etcher of the King']",8,4.23,33.84
108,"['Extraction, Quickblade Of Trembling Hands']",9,3.5300000000000002,31.770000000000003
78,"['Glimmer, Ender of the Moon']",7,4.3999999999999995,30.799999999999997
72,"[""Winter's Bite""]",8,3.77,30.16
60,['Wolf'],8,3.5399999999999996,28.319999999999997
179,"['Wolf, Promise of the Moonwalker']",6,4.48,26.880000000000003
160,['Azurewrath'],6,4.3999999999999995,26.4
25,['Hero Cane'],6,4.3500000000000005,26.1
37,"['Shadow Strike, Glory of Ending Hope']",8,3.16,25.28
139,"['Mercy, Katana of Dismay']",5,4.94,24.700000000000003
128,"['Blazeguard, Reach of Eternity']",5,4.91,24.55
138,"['Peacekeeper, Wit of Dark Magic']",5,4.74,23.700000000000003
141,['Persuasion'],7,3.1900000000000004,22.330000000000002
87,"['Deluge, Edge of the West']",5,4.43,22.15
159,"['Oathbreaker, Spellblade of Trials']",7,3.0800000000000005,21.560000000000002
136,['Ghastly Adamantite Protector'],6,3.5799999999999996,21.479999999999997
65,['Conqueror Adamantite Mace'],5,4.24,21.200000000000003
101,['Final Critic'],5,4.19,20.950000000000003
102,['Avenger'],6,3.44,20.64
133,"[""Faith's Scimitar""]",5,4.09,20.45
39,"['Betrayal, Whisper of Grieving Widows']",5,3.94,19.7
111,"[""Misery's End""]",4,4.89,19.56
165,['Bone Crushing Silver Skewer'],4,4.86,19.44
75,['Brutality Ivory Warmace'],8,2.42,19.36
52,['Hatred'],4,4.84,19.36
157,"['Spada, Etcher of Hatred']",4,4.8,19.2
114,['Yearning Mageblade'],5,3.8199999999999994,19.099999999999998
24,['Warped Fetish'],5,3.81,19.05
88,"['Emberling, Defender of Delusions']",5,3.75,18.75
96,['Blood-Forged Skeletal Spine'],6,3.09,18.54
120,['Agatha'],6,3.08,18.48
50,['Dawn'],4,4.6,18.4
57,"['Despair, Favor of Due Diligence']",4,4.6,18.4
11,['Brimstone'],5,3.65,18.25
34,['Retribution Axe'],8,2.22,17.76
66,['Victor Iron Spikes'],4,4.4,17.6
154,['Feral Katana'],4,4.4,17.6
68,"['Storm-Weaver, Slayer of Inception']",4,4.32,17.28
35,['Heartless Bone Dualblade'],5,3.45,17.25
163,['Thunderfury Scimitar'],5,3.45,17.25
80,['Dreamsong'],5,3.3899999999999997,16.95
137,"['Aetherius, Boon of the Blessed']",5,3.3899999999999997,16.95
116,['Renewed Skeletal Katana'],4,4.18,16.72
58,"[""Freak's Bite, Favor of Holy Might""]",4,4.14,16.56
100,['Blindscythe'],5,3.2700000000000005,16.35
20,['Netherbane'],5,3.2700000000000005,16.35
5,['Putrid Fan'],4,4.08,16.32
113,"[""Solitude's Reaver""]",4,4.07,16.28
77,"['Piety, Guardian of Riddles']",4,4.0,16.0
170,['Shadowsteel'],4,3.97,15.88
146,['Warped Iron Scimitar'],5,3.1,15.5
45,['Glinting Glass Edge'],4,3.85,15.4
40,['Second Chance'],6,2.52,15.12
54,['Eternal Cleaver'],6,2.5,15.0
153,['Mercenary Sabre'],4,3.74,14.96
3,['Phantomlight'],6,2.49,14.940000000000001
2,['Verdict'],6,2.48,14.88
15,['Soul Infused Crystal'],5,2.96,14.8
147,"['Hellreaver, Heirloom of Inception']",3,4.93,14.79
140,['Striker'],5,2.94,14.7
64,['Fusion Pummel'],3,4.82,14.46
98,"['Deadline, Voice Of Subtlety']",5,2.89,14.450000000000001
167,"['Malice, Legacy of the Queen']",4,3.61,14.44
53,['Vengeance Cleaver'],7,2.0500000000000003,14.350000000000001
109,"['Downfall, Scalpel Of The Emperor']",3,4.76,14.28
41,['Orbit'],3,4.75,14.25
150,['Deathraze'],5,2.85,14.25
95,['Singed Onyx Warscythe'],3,4.74,14.22
16,['Restored Bauble'],4,3.55,14.2
94,['Mourning Blade'],4,3.49,13.96
89,"['Blazefury, Protector of Delusions']",3,4.64,13.919999999999998
174,['Primitive Blade'],4,3.47,13.88
67,"['Celeste, Incarnation of the Corrupted']",4,3.46,13.84
175,['Woeful Adamantite Claymore'],3,4.48,13.440000000000001
162,['Abyssal Shard'],5,2.67,13.35
83,['Lifebender'],4,3.33,13.32
22,['Amnesia'],6,2.18,13.08
119,"['Stormbringer, Dark Blade of Ending Misery']",3,4.32,12.96
76,['Haunted Bronzed Bludgeon'],4,3.15,12.6
172,['Blade of the Grave'],4,3.14,12.56
74,['Yearning Crusher'],3,4.18,12.54
117,"['Heartstriker, Legacy of the Light']",7,1.7899999999999996,12.529999999999998
85,['Malificent Bag'],7,1.75,12.25
79,"['Alpha, Oath of Zeal']",3,4.05,12.149999999999999
105,['Hailstorm Shadowsteel Scythe'],4,3.03,12.12
148,"[""Warmonger, Gift of Suffering's End""]",3,4.03,12.09
182,['Toothpick'],3,4.03,12.09
44,['Bonecarvin Battle Axe'],5,2.38,11.899999999999999
93,['Apocalyptic Battlescythe'],6,1.97,11.82
8,"['Purgatory, Gem of Regret']",3,3.93,11.790000000000001
144,['Blood Infused Guardian'],6,1.9399999999999997,11.639999999999999
61,['Ragnarok'],3,3.8699999999999997,11.61
164,['Exiled Doomblade'],7,1.6299999999999994,11.409999999999997
84,['Arcane Gem'],3,3.7900000000000005,11.370000000000001
71,['Demise'],7,1.6099999999999999,11.27
9,"['Thorn, Conqueror of the Corrupted']",4,2.73,10.92
112,['Worldbreaker'],4,2.6,10.4
73,['Ritual Mace'],5,2.05,10.25
106,['Crying Steel Sickle'],3,3.41,10.23
151,['Severance'],3,3.4,10.2
110,['Suspension'],7,1.4399999999999997,10.079999999999998
63,['Stormfury Mace'],2,4.99,9.98
29,"['Chaos, Ender of the End']",5,1.98,9.9
173,['Stormfury Longsword'],2,4.93,9.86
1,['Crucifer'],3,3.26,9.78
38,"['The Void, Vengeance of Dark Magic']",4,2.37,9.48
143,['Frenzied Scimitar'],6,1.5600000000000003,9.360000000000001
7,"['Thorn, Satchel of Dark Souls']",7,1.33,9.31
18,"['Torchlight, Bond of Storms']",2,4.65,9.3
129,"['Fate, Vengeance of Eternal Justice']",6,1.54,9.24
166,['Thirsty Iron Reaver'],3,3.07,9.209999999999999
123,"[""Twilight's Carver""]",4,2.28,9.12
49,"['The Oculus, Token of Lost Worlds']",3,2.9599999999999995,8.879999999999999
156,['Soul-Forged Steel Shortsword'],5,1.77,8.85
161,['Devine'],5,1.7600000000000002,8.8
149,"['Tranquility, Razor of Black Magic']",5,1.75,8.75
107,"['Splitter, Foe Of Subtlety']",4,2.18,8.72
169,"['Interrogator, Blood Blade of the Queen']",4,2.18,8.72
122,['Unending Tyranny'],3,2.85,8.55
4,"[""Bloodlord's Fetish""]",5,1.7,8.5
181,"[""Reaper's Toll""]",5,1.6599999999999997,8.299999999999999
19,"['Pursuit, Cudgel of Necromancy']",8,1.0199999999999998,8.159999999999998
142,['Righteous Might'],3,2.62,7.86
127,"['Heartseeker, Reaver of Souls']",2,3.92,7.84
97,"['Swan Song, Gouger Of Terror']",3,2.5,7.5
6,['Rusty Skull'],2,3.7,7.4
81,['Dreamkiss'],2,3.61,7.22
131,['Fury'],5,1.44,7.199999999999999
10,['Sleepwalker'],4,1.79,7.16
43,['Foul Edge'],2,3.54,7.08
152,['Darkheart'],4,1.74,6.96
99,"['Expiration, Warscythe Of Lost Worlds']",4,1.71,6.84
86,['Stormfury Lantern'],3,2.27,6.8100000000000005
55,['Vindictive Glass Edge'],3,2.27,6.8100000000000005
17,"['Lazarus, Terror of the Earth']",4,1.7,6.8
132,['Persuasion'],2,3.33,6.66
46,['Hopeless Ebon Dualblade'],5,1.33,6.65
121,['Massacre'],4,1.6,6.4
130,['Alpha'],3,2.07,6.209999999999999
12,['Dawne'],6,1.0199999999999998,6.119999999999999
56,['Foul Titanium Battle Axe'],2,2.92,5.84
32,['Orenmir'],5,1.14,5.699999999999999
176,['Relentless Iron Skewer'],2,2.84,5.68
13,['Serenity'],4,1.41,5.64
62,['Piece Maker'],3,1.87,5.61
21,['Souleater'],5,1.1,5.5
171,['Scalpel'],3,1.79,5.37
14,['Possessed Core'],2,2.61,5.22
124,['Venom Claymore'],4,1.29,5.16
0,['Splinter'],4,1.28,5.12
155,['War-Forged Gold Deflector'],5,1.01,5.05
48,"['Rage, Legacy of the Lone Victor']",2,2.48,4.96
158,"['Darkheart, Butcher of the Champion']",2,2.45,4.9
51,['Endbringer'],1,4.66,4.66
134,['Undead Crusader'],1,4.5,4.5
30,['Stormcaller'],2,2.21,4.42
135,['Warped Diamond Crusader'],3,1.3999999999999997,4.199999999999999
91,['Celeste'],1,4.17,4.17
177,"['Winterthorn, Defender of Shifting Worlds']",2,2.08,4.16
70,"[""Hope's End""]",4,1.03,4.12
115,['Spectral Diamond Doomblade'],2,2.04,4.08
69,"['Frenzy, Defender of the Harvest']",2,1.98,3.96
47,"['Alpha, Reach of Ending Hope']",1,3.58,3.58
180,['Stormcaller'],1,3.36,3.36
27,"['Riddle, Tribute of Ended Dreams']",1,3.3,3.3
183,"[""Dragon's Greatsword""]",3,1.09,3.2700000000000005
31,['Trickster'],2,1.55,3.1
168,"['Sun Strike, Jaws of Twisted Visions']",2,1.48,2.96
90,['Betrayer'],1,2.94,2.94
33,['Curved Axe'],2,1.16,2.32
26,['Unholy Wand'],2,1.12,2.24
118,"['Ghost Reaver, Longsword of Magic']",1,2.17,2.17
28,"['Flux, Destroyer of Due Diligence']",2,1.06,2.12
125,['Whistling Mithril Warblade'],2,1.0,2.0
126,['Exiled Mithril Longsword'],1,2.0,2.0
23,['Crucifer'],1,1.99,1.99
104,"[""Gladiator's Glaive""]",1,1.93,1.93
42,['The Decapitator'],1,1.75,1.75
